Mean steps per day 2019;;Mean steps per day 2020;;change;;;;Gem step 2019;Gem step 2020;;year;gender;bmi;living;stap_om_1_aantal;stap_om_2_aantal;stap_om_3_aantal;stap_om_4_aantal;stap_om_5_aantal;stap_om_6_aantal;stap_om_7_aantal;;Kolom1;Kolom3;Kolom4;Kolom5;Kolom6;Kolom7;Kolom8;Kolom9;Kolom10;Kolom11;Kolom12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5402,857143;2314;;2019;Female;18;Moved_out;9905,00;4295,00;5266,00;5373,00;3041,00;2545,00;7395,00;;2020,00;Female;20.6;Moved_out;6000,00;1600,00;0,00;1450,00;1390,00;2599,00;3159,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean;6856;Mean;4134;-2722,022648;;;;6931,285714;4795,571429;;2019;Female;24.9;Moved_out;10285,00;4431,00;10584,00;2608,00;2041,00;6717,00;11853,00;;;Female;20;Moved_out;1652,00;2701,00;3827,00;10299,00;5119,00;3878,00;6093,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standard Error;227;Standard Error;186;-41,07353416;;;;7050,857143;811,4285714;;2019;Female;21.8;Moved_out;5906,00;4997,00;6987,00;8054,00;7543,00;6789,00;9080,00;;;Female;23.8;Moved_out;662,00;592,00;1348,00;406,00;1122,00;960,00;590,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Median;6658;Median;4067;-2590,857143;;;;7517,571429;4113,142857;;2019;Female;18.7;Living_with_parents;4094,00;5949,00;2808,00;1454,00;17456,00;4546,00;16316,00;;;Female;18.5;Moved_out;4600,00;3624,00;5015,00;638,00;3884,00;5690,00;5341,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mode;13370;Mode;8643;-4726,571429;;;;10312;4042,142857;;2019;Female;22;Moved_out;17107,00;10586,00;11085,00;6768,00;16327,00;3273,00;7038,00;;;Female;22.6;Living_with_parents;1184,00;656,00;4272,00;8937,00;5597,00;1163,00;6486,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standard Deviation;2055;Standard Deviation;1683;;;;;4820,285714;2605,857143;;2019;Female;19.7;Living_with_parents;5012,00;6055,00;4610,00;1609,00;7152,00;4187,00;5117,00;;;Female;19.9;Living_with_parents;1835,00;3540,00;1101,00;1022,00;2275,00;4622,00;3846,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample Variance;4224451;Sample Variance;2833870;;;;;8018,428571;5145,428571;;2019;Female;23.1;Moved_out;9892,00;4183,00;4009,00;5616,00;6536,00;8117,00;17776,00;;;Female;21.9;Moved_out;3625,00;8236,00;2261,00;4485,00;2874,00;6380,00;8157,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range;10844;Range;7832;-3011,714286;;;;3873,285714;3758,428571;;2019;Female;17.7;Moved_out;10466,00;3249,00;1002,00;1437,00;1015,00;4691,00;5253,00;;;Female;21.8;Moved_out;1720,00;529,00;8749,00;3861,00;3018,00;4254,00;4178,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minimum;2526;Minimum;811;-1714,857143;;;;5023,428571;3404,714286;;2019;Female;23;Moved_out;4915,00;10179,00;6154,00;5264,00;28,00;2577,00;6047,00;;;Female;18.7;Living_with_parents;3712,00;972,00;1330,00;1886,00;5415,00;3675,00;6843,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maximum;13370;Maximum;8643;-4726,571429;;;;2526,285714;3842,714286;;2019;Female;24.8;Living_with_parents;4650,00;3658,00;2883,00;1476,00;0,00;0,00;5017,00;;;Female;23.8;Moved_out;3386,00;2549,00;10163,00;4742,00;2497,00;2843,00;719,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sum;562209;Sum;339003;-223205,8571;;;;6482,571429;1956,428571;;2019;Female;19.8;Moved_out;3645,00;4909,00;5214,00;6207,00;7288,00;9579,00;8536,00;;;Female;17.6;Living_with_parents;2364,00;1084,00;1538,00;2312,00;1737,00;1431,00;3229,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count;82;Count;82;;;;;4870,714286;5495,285714;;2019;Female;19.8;Living_with_parents;9221,00;5175,00;4586,00;1041,00;2125,00;5587,00;6360,00;;;Female;23;Living_with_parents;6041,00;7858,00;1042,00;2799,00;5911,00;8655,00;6161,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Confidence Level(95%);452;Confidence Level(95%);370;;;;;8776,571429;5816,714286;;2019;Female;22.2;Living_with_parents;6113,00;13245,00;22098,00;1235,00;4736,00;14009,00;0,00;;;Female;20;Moved_out;2060,00;5415,00;5547,00;1792,00;4935,00;14575,00;6393,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;8121,428571;5405;;2019;Female;19.5;Living_with_parents;7865,00;8060,00;5964,00;10024,00;14717,00;4115,00;6105,00;;;Female;18.7;Living_with_parents;4117,00;1584,00;4764,00;6044,00;5459,00;2686,00;13181,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;5778;4504,142857;;2019;Female;20;Living_with_parents;4199,00;11562,00;6735,00;6902,00;383,00;3501,00;7164,00;;;Female;23;Moved_out;7302,00;0,00;0,00;2534,00;6160,00;8017,00;7516,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;8175,571429;4542;;2019;Female;21;Living_with_parents;11508,00;7006,00;7155,00;4667,00;8076,00;7567,00;11250,00;;;Female;23;Moved_out;9034,00;7843,00;0,00;0,00;8585,00;1952,00;4380,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7359,142857;5155,142857;;2019;Female;20;Living_with_parents;14077,00;5818,00;8140,00;4064,00;4099,00;5019,00;10297,00;;;Female;16.9;Living_with_parents;11631,00;2414,00;4204,00;4636,00;3574,00;3356,00;6271,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7790,714286;2613,285714;;2019;Female;17.8;Moved_out;8358,00;6610,00;7847,00;11650,00;8211,00;4459,00;7400,00;;;Female;20.4;Living_with_parents;1394,00;124,00;2374,00;1598,00;2581,00;5408,00;4814,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7470,857143;3001;;2019;Female;22.1;Moved_out;6717,00;6390,00;6019,00;8323,00;6941,00;10717,00;7189,00;;;Female;18.7;Living_with_parents;1304,00;9834,00;351,00;2374,00;341,00;2581,00;4222,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;6404;2959,857143;;2019;Female;20.8;Living_with_parents;4905,00;7660,00;5738,00;4692,00;6182,00;4079,00;11572,00;;;Female;19.2;Living_with_parents;3270,00;3636,00;1328,00;1718,00;3172,00;3441,00;4154,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bin;Frequency;;Bin;Frequency;;;;8543,571429;5355,285714;;2019;Female;23;Moved_out;13176,00;11789,00;7345,00;1359,00;5233,00;5867,00;15036,00;;;Female;19.4;Moved_out;6015,00;6127,00;8090,00;2133,00;10644,00;1024,00;3454,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2526;1;;203;1;;;;6215,428571;8643,428571;;2019;Female;19.7;Living_with_parents;7959,00;4286,00;12838,00;1171,00;7625,00;4783,00;4846,00;;;Female;25.1;Moved_out;13264,00;9693,00;3145,00;12029,00;5083,00;10720,00;6570,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
